# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
33-12,33,69610,25.77,24.84,20.75,6.32,3.98,4.39,6.02,2.65,1.83,2.02,0.98,0.46
34-01,34,66559,24.19,22.14,26.27,9.81,3.82,4.79,2.6,1.85,1.57,1.95,0.62,0.39
34-02,34,45852,21.58,9.96,45.11,6.13,3.29,6.27,1.6,1.71,1.11,2.22,0.71,0.3
34-03,34,72126,27.69,19.43,23.44,8.73,4.47,6.4,3.01,1.82,1.81,2.25,0.63,0.31
34-04,34,93416,22.54,25.39,23.6,8.6,3.69,4.93,3.89,2.18,2.04,1.91,0.82,0.41
34-05,34,75720,18.53,31.72,21.55,8.06,3.03,3.28,5.66,2.91,2.04,1.96,0.77,0.5
34-06,34,68394,19.51,35.03,18.64,10.36,3.49,2.51,3.77,2.5,1.71,1.48,0.58,0.44
34-07,34,80173,20.49,32.35,19.18,10.62,3.66,3.01,3.45,2.63,1.84,1.63,0.68,0.44
34-08,34,70342,22.14,25.91,24.98,8.88,3.34,4.52,3.08,2.27,1.82,1.99,0.65,0.42
34-09,34,66146,24.05,25.04,23.71,9.28,3.84,4.5,3.02,1.78,1.87,1.85,0.69,0.38
35-01,35,70645,33.23,11.92,28.18,3.93,3.76,9.06,1.78,2.41,1.42,2.94,0.82,0.56
35-02,35,77136,36.2,11.15,24.48,4.99,4.76,8.92,1.8,2.05,1.43,2.91,0.77,0.54
35-03,35,71242,34.01,19.41,21.43,4.24,4.0,6.44,2.45,2.13,1.8,2.34,0.99,0.75
35-04,35,74266,31.3,22.14,21.23,4.39,3.74,6.09,2.8,2.18,2.28,2.1,1.03,0.73
35-05,35,85061,37.73,19.65,17.31,3.98,4.78,6.19,2.74,1.81,2.14,2.02,0.92,0.74
35-06,35,69474,34.95,22.66,17.63,4.14,4.36,5.44,2.94,2.27,2.09,1.85,0.93,0.75
35-07,35,79331,35.7,19.56,16.91,6.53,5.67,5.89,2.64,2.15,1.77,1.73,0.86,0.58
35-08,35,69677,32.03,9.38,32.0,4.46,3.81,9.33,1.49,2.09,1.15,2.93,0.91,0.42
36-01,36,55143,26.98,27.1,18.44,6.39,5.2,3.28,3.78,3.08,2.15,1.93,0.86,0.83
36-02,36,65854,25.24,29.72,16.38,5.95,5.65,2.91,4.41,3.04,2.58,2.12,1.03,0.96
37-01,37,49284,30.28,11.82,30.88,6.76,5.15,6.5,1.72,2.01,1.45,2.09,0.88,0.47
37-02,37,69653,30.61,24.07,18.72,5.87,4.76,4.98,2.79,2.36,2.36,1.88,0.88,0.71
37-03,37,74699,31.78,22.55,19.13,5.69,4.8,4.56,2.84,2.71,2.44,1.87,0.88,0.75
37-04,37,68234,30.64,22.83,20.42,5.54,4.81,4.39,2.82,2.53,2.37,1.88,0.99,0.78
37-05,37,65620,31.42,23.68,17.58,6.82,5.41,4.84,2.57,2.22,2.24,1.82,0.76,0.64
38-01,38,66452,33.46,10.2,27.34,6.71,5.33,9.44,1.46,1.63,1.25,2.28,0.6,0.3
38-02,38,58033,25.81,20.15,28.53,6.21,3.29,6.1,2.13,2.86,1.67,1.94,0.76,0.55
38-03,38,43376,24.65,15.06,35.73,5.61,2.93,7.16,1.6,2.57,1.29,2.11,0.82,0.47
38-04,38,70673,27.44,21.34,23.12,6.71,4.25,6.43,2.82,2.42,1.96,2.1,0.84,0.57
38-05,38,82639,27.81,20.14,23.23,6.46,4.16,7.75,2.51,2.44,2.09,2.12,0.8,0.48
38-06,38,66793,25.12,30.86,17.23,8.9,4.25,4.09,2.62,1.85,2.51,1.44,0.61,0.52
38-07,38,72857,24.93,30.34,17.31,7.54,4.63,3.91,3.41,2.21,2.75,1.65,0.69,0.62
38-08,38,62334,26.81,27.18,18.68,8.16,4.59,4.55,2.66,1.97,2.37,1.86,0.67,0.49
